date,nb_seismes,mag_max,mag_mean,mag_median,depth_mean,tsunami_sum,nb_zones,nb_seismes_clean,energy_sum,lag_1,lag_2,lag_3,lag_4,lag_8,lag_12,lag_52,energy_lag_1,energy_lag_2,energy_lag_4,zones_lag_1,zones_lag_2,rolling_mean_4,rolling_mean_8,rolling_mean_12,rolling_mean_26,rolling_std_4,rolling_std_8,rolling_std_12,rolling_max_4,rolling_max_8,energy_rolling_4,energy_rolling_8,week_of_year,month,quarter,year,week_sin,week_cos,month_sin,month_cos,energy_per_seisme,tsunami_ratio,mag_spread,delta_seismes,log_energy
2021-08-23,455,7.1,4.541538461538462,4.5,54.85751648351648,3,196,455.0,83766146529.78448,858.0,342.0,321.0,292.0,247.0,321.0,237.0,1779988415816.051,8262715564.188663,32849513410.588173,275.0,269.0,453.25,364.75,342.8333333333333,349.7307692307692,270.61088300362206,201.49849343640983,165.18960639400422,858.0,858.0,956445778274.5298,481305117118.7136,34,8.0,3.0,2021.0,-0.8229838658936564,-0.5680647467311559,-0.8660254037844385,-0.5000000000000004,183697689.75829932,0.006578947368421,2.558461538461538,-403.0,25.15129478346656
2021-08-30,377,6.0,4.54289124668435,4.5,68.45946949602123,0,204,377.0,7079109852.643092,455.0,858.0,342.0,321.0,270.0,341.0,253.0,83766146529.78448,1779988415816.051,2004682468307.291,196.0,275.0,494.0,390.75,354.0,354.0769230769231,249.69981978367548,197.51437560701402,168.08331267558947,858.0,858.0,969174936554.3289,491248290094.7726,35,8.0,3.0,2021.0,-0.8854560256532096,-0.4647231720437691,-0.8660254037844385,-0.5000000000000004,18727803.842971142,0.0,1.4571087533156497,-78.0,22.680414009861185
2021-09-06,348,6.4,4.554252873563218,4.5,71.96872322871839,4,213,348.0,11581147146.202782,377.0,455.0,858.0,342.0,307.0,275.0,333.0,7079109852.643092,83766146529.78448,8262715564.188663,204.0,196.0,508.0,404.125,357.0,358.2692307692308,238.06581722988568,191.70694711310963,168.15144688913347,858.0,858.0,469774096940.6668,491351366692.33636,36,9.0,3.0,2021.0,-0.9350162426854147,-0.3546048870425359,-1.0,-1.8369701987210287e-16,33183802.711182754,0.0114613180515759,1.8457471264367822,-29.0,23.172644366983032
2021-09-13,347,7.0,4.541123919308357,4.5,79.93927997512104,1,218,347.0,39946294666.87354,348.0,377.0,455.0,858.0,281.0,259.0,250.0,11581147146.202782,7079109852.643092,1779988415816.051,213.0,204.0,509.5,409.25,363.0833333333333,336.0,236.68614943281605,189.27210193641488,166.22463351705358,858.0,858.0,470603704836.17035,491860587382.4228,37,9.0,3.0,2021.0,-0.970941817426052,-0.23931566428755774,-1.0,-1.8369701987210287e-16,114788203.06572857,0.0028735632183908,2.4588760806916428,-1.0,24.410801755617506
2021-09-20,290,6.1,4.534586206896552,4.5,76.6759797784207,2,228,290.0,6255111315.867498,347.0,348.0,377.0,455.0,292.0,247.0,243.0,39946294666.87354,11581147146.202782,83766146529.78448,218.0,213.0,381.75,417.5,370.4166666666667,333.11538461538464,50.77647092896469,184.25525772688292,163.12764568851833,455.0,858.0,35593174548.87598,496019476411.7029,38,9.0,3.0,2021.0,-0.992708874098054,-0.12053668025532357,-1.0,-1.8369701987210287e-16,21495227.88957903,0.0068728522336769,1.5654137931034473,-57.0,22.55666477716856
2021-09-27,314,6.5,4.521783439490446,4.4,77.7951439496656,2,241,314.0,17231367512.068035,290.0,347.0,348.0,377.0,321.0,270.0,241.0,6255111315.867498,39946294666.87354,7079109852.643092,228.0,218.0,340.5,417.25,374.0,330.0769230769231,36.428011200173906,184.45111624957528,160.6232180658144,377.0,858.0,16215415745.39673,492695176149.8628,39,9.0,3.0,2021.0,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210287e-16,54702754.00656519,0.0063492063492063,1.978216560509554,24.0,23.569997252477684
2021-10-04,270,7.3,4.54074074074074,4.5,97.57610503472222,2,204,270.0,97860026862.96075,314.0,290.0,347.0,348.0,342.0,307.0,290.0,17231367512.068035,6255111315.867498,11581147146.202782,241.0,228.0,324.75,416.375,377.6666666666667,331.38461538461536,28.04014978561982,184.9887544844668,158.5217698461366,348.0,858.0,18753480160.252968,244263788550.4599,40,10.0,4.0,2021.0,-0.992708874098054,0.1205366802553232,-0.8660254037844386,0.5000000000000001,361107110.1954271,0.007380073800738,2.7592592592592595,-44.0,25.306803997321563
2021-10-11,287,6.9,4.550940766550522,4.5,85.14344947735191,2,239,287.0,53875058105.97838,270.0,314.0,290.0,347.0,858.0,281.0,255.0,97860026862.96075,17231367512.068035,39946294666.87354,204.0,241.0,305.25,407.375,374.5833333333333,331.8076923076923,33.13985515961099,190.78479836117535,160.37028648686382,347.0,858.0,40323200089.44246,255463452462.8064,41,10.0,4.0,2021.0,-0.9709418174260521,0.23931566428755738,-0.8660254037844386,0.5000000000000001,187066173.97909158,0.0069444444444444,2.349059233449478,17.0,24.709933463921544
2021-10-18,278,6.4,4.483992805755396,4.4,101.37611510791368,2,231,278.0,12924871243.642689,287.0,270.0,314.0,290.0,455.0,292.0,271.0,53875058105.97838,97860026862.96075,6255111315.867498,239.0,204.0,290.25,336.0,375.0833333333333,330.53846153846155,18.117670931993302,60.3134668686382,160.0610442262197,314.0,455.0,43805390949.21867,39699282749.04732,42,10.0,4.0,2021.0,-0.9350162426854148,0.35460488704253557,-0.8660254037844386,0.5000000000000001,46325703.38223186,0.007168458781362,1.916007194244604,-9.0,23.282419295561514
2021-10-25,229,6.2,4.465720524017467,4.4,102.9432751091703,1,189,229.0,6694391679.896753,278.0,287.0,270.0,314.0,377.0,321.0,306.0,12924871243.642689,53875058105.97838,17231367512.068035,231.0,239.0,287.25,313.875,373.9166666666667,330.2307692307692,19.137659209004507,39.189785476758,160.77112943748963,314.0,377.0,45472830931.16247,30844123338.2796,43,10.0,4.0,2021.0,-0.8854560256532101,0.464723172043768,-0.8660254037844386,0.5000000000000001,29106050.782159798,0.0043478260869565,1.7342794759825333,-49.0,22.624535950258124
2021-11-01,249,6.0,4.47289156626506,4.4,90.99855421686746,1,205,249.0,5677703899.068603,229.0,278.0,287.0,270.0,348.0,342.0,291.0,6694391679.896753,12924871243.642689,97860026862.96075,189.0,231.0,266.0,295.375,366.25,328.2307692307692,25.625508125043318,40.05687920231171,165.6437167812015,287.0,348.0,42838586973.11965,30796033566.686302,44,11.0,4.0,2021.0,-0.822983865893657,0.5680647467311548,-0.5000000000000004,0.8660254037844384,22710815.59627441,0.004,1.5271084337349397,20.0,22.459812745005596
2021-11-08,272,6.0,4.505735294117647,4.4,109.8254411764706,2,212,272.0,5926301717.095573,249.0,229.0,278.0,287.0,347.0,858.0,226.0,5677703899.068603,6694391679.896753,53875058105.97838,205.0,189.0,260.75,283.0,358.5,325.34615384615387,26.663020584072267,36.621617347447604,169.0225912818649,287.0,347.0,19793006232.14661,30058103160.79453,45,11.0,4.0,2021.0,-0.7485107481711011,0.6631226582407952,-0.5000000000000004,0.8660254037844384,21708064.897785984,0.0073260073260073,1.4942647058823528,23.0,22.502666199093895
2021-11-15,314,6.6,4.522292993630574,4.5,79.78894904458599,2,217,314.0,22449101433.55292,272.0,249.0,229.0,278.0,290.0,455.0,260.0,5926301717.095573,5677703899.068603,12924871243.642689,212.0,205.0,257.0,273.625,309.6666666666667,326.38461538461536,22.464787260658877,25.939145816975184,62.97233639873247,278.0,314.0,7805817134.925908,25805604042.072285,46,11.0,4.0,2021.0,-0.6631226582407955,0.7485107481711007,-0.5000000000000004,0.8660254037844384,71266988.67794578,0.0063492063492063,2.077707006369426,42.0,23.834516425146692
2021-11-22,261,6.2,4.495019157088123,4.4,92.66915708812262,1,217,261.0,6239301379.040789,314.0,272.0,249.0,229.0,314.0,377.0,230.0,22449101433.55292,5926301717.095573,6694391679.896753,217.0,212.0,266.0,276.625,297.9166666666667,328.0769230769231,36.50570731634522,29.27669721809508,43.54821431123143,314.0,314.0,10186874682.403465,27829852806.782963,47,11.0,4.0,2021.0,-0.5680647467311559,0.8229838658936564,-0.5000000000000004,0.8660254037844384,23814127.40091904,0.0038167938931297,1.7049808429118771,-53.0,22.55413405473315
2021-11-29,276,7.5,4.514528985507246,4.4,87.0340579710145,2,237,276.0,188099945755.04013,261.0,314.0,272.0,249.0,270.0,348.0,234.0,6239301379.040789,22449101433.55292,5677703899.068603,217.0,217.0,274.0,270.0,288.25,323.2692307692308,28.272483678186607,25.343356413185067,36.74018112490574,314.0,314.0,10073102107.189476,26455844540.15456,48,11.0,4.0,2021.0,-0.4647231720437684,0.88545602565321,-0.5000000000000004,0.8660254037844384,679061176.0109752,0.0072202166064981,2.985471014492754,15.0,25.960239284875044
2021-12-06,356,6.3,4.540393258426966,4.5,77.9856179775281,0,251,356.0,13043629226.162989,276.0,261.0,314.0,272.0,287.0,347.0,252.0,188099945755.04013,6239301379.040789,5926301717.095573,237.0,217.0,280.75,270.75,282.25,321.53846153846155,23.05609102457154,25.43198211476504,31.617385896197366,314.0,314.0,55678662571.18236,37735834401.66448,49,12.0,4.0,2021.0,-0.35460488704253595,0.9350162426854147,-2.4492935982947064e-16,1.0,36536776.54387392,0.0,1.7596067415730339,80.0,23.29156566968898
2021-12-13,392,6.6,4.515433673469388,4.4,73.99108197893368,10,240,392.0,17061082407.115604,356.0,276.0,261.0,314.0,278.0,290.0,239.0,13043629226.162989,188099945755.04013,22449101433.55292,251.0,237.0,301.75,279.375,283.0,322.11538461538464,42.492156138907895,39.525534242346104,33.352115920337134,356.0,356.0,57457994448.44921,32631905791.687553,50,12.0,4.0,2021.0,-0.2393156642875578,0.970941817426052,-2.4492935982947064e-16,1.0,43412423.42777508,0.0254452926208651,2.084566326530612,36.0,23.560065824131822
2021-12-20,327,7.3,4.533119266055046,4.5,70.18427559668807,3,254,327.0,100972767331.3476,392.0,356.0,276.0,261.0,229.0,314.0,237.0,17061082407.115604,13043629226.162989,6239301379.040789,240.0,251.0,321.25,293.625,291.5,326.61538461538464,62.95699590461196,56.05338654227025,45.925829531776444,392.0,392.0,56110989691.83988,33148932187.12167,51,12.0,4.0,2021.0,-0.12053668025532363,0.992708874098054,-2.4492935982947064e-16,1.0,307843802.8394744,0.0091463414634146,2.766880733944954,-65.0,25.33811668705807
2021-12-27,304,6.1,4.552532894736842,4.5,75.28947368421052,1,241,304.0,8827015594.17135,327.0,392.0,356.0,276.0,249.0,270.0,276.0,100972767331.3476,17061082407.115604,188099945755.04013,254.0,240.0,337.75,305.875,292.5833333333333,329.2307692307692,49.00595201945706,50.32874072393593,46.652405829677654,392.0,392.0,79794356179.9166,44933729143.553024,52,12.0,4.0,2021.0,6.432490598706546e-16,1.0,-2.4492935982947064e-16,1.0,28941034.734988034,0.0032786885245901,1.5474671052631574,-23.0,22.901082809740775
